Name,Botanical_name,Botanical_family,Synonyms,CAS_No,FL_No,FEMA_No,NAS_No,CoE_No,EINECS_No,JECFA_No,E_No,Description,Consumption,Individual,CoE,FDA,FDA_other,JECFA,Trade_association_guidelines,IOFI,Specifications,Reported_uses_ppm,Food_Category_Usual_Max,Aroma_threshold_values,Taste_threshold_values,Empirical_Formula_MW,Synthesis,Natural_occurrence,EAFUS_No,Derivatives,Derivative_names,NOTE,Foreign_names,Essential_oil_composition,Genus_Species,Composition,INS_No,Animal_family,Physical_chemical_characteristics
ACETAMIDE,,,"Acetic acid amide; Acetimidic acid; Ethanamide; Ethanamidic acid; Methanecarboxamide",60-35-5,16.047,4251,,,200-473-5,,,"White to pale yellow crystalline powder; mousy aroma",,,,,,,"0.252 mg",,"(JECFA, 2008); Assay (min); 99%; Melting point; 79–81°C; Boiling point; 221–222°C; Solubility; Soluble in water (12600 mg/L, 25°C) ; and ethanol","(FEMA, 2005)","[['Baked goods', '1.00', '5.00'], ['Meat products', '0.20', '1.00'], ['Breakfast cereals', '0.20', '1.00'], ['Milk products', '0.40', '2.00'], ['Cheese', '0.40', '2.00'], ['Other grains', '0.20', '1.00'], ['Condiments, relishes', '0.10', '0.50'], ['Poultry', '0.20', '1.00'], ['Confection, frosting', '1.00', '5.00'], ['Processed fruits', '0.40', '2.00'], ['Fats, oils', '0.10', '0.50'], ['Seasonings, flavors', '0.10', '0.50'], ['Fish products', '0.20', '1.00'], ['Snack foods', '1.00', '5.00'], ['Frozen dairy', '0.40', '2.00'], ['Soups', '0.10', '0.50'], ['Fruit ices', '0.40', '2.00']]",,,"C2H5NO /59.07CH3ONH2",,"Not reported found in nature",,,,,,,,,,,
ACETANISOLE,,,"Acetophenone,. 4ʹ-methoxy-;  4-Acetylanisole;  p-Acetylanisole;  Ethanone,. 1-(4-methoxyphenyl)-;  Linarodin; 4ʹ-Methoxyacetophenone;  4-Methoxyacetophenone;  p-Methoxyacetophenone;  1-(4-Methoxyphenyl)ethanone;  p-Methoxyphenyl methyl ketone; Methyl p-methoxyphenyl ketone; 4-Methoxyphenyl methyl ketone; Novatone; Vananote",0100-06-01,7.038,2005,2005,570,202-815-9,810,,"Yellowish-white crystals with an odor similar to that of p-methylacetopheneone, suggestive of hawthorn and floral note of heliotrope, possessing a bitter and unpleasant taste. Useful in vanilla, nut, tobacco and butter flavors ","5600.00 lb","0.004745 mg/kg/day","20 ppm","21 CFR 172.515",,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent (2001)","9.088 mg.","Nature Identical","(JECFA, 2008); Appearance; Colorless to pale-yellow fused solid; Melting point; 36–38°C; Assay (min); 97% (sum of o,m,p-isomers); Solubility; Very soluble in ethanol; soluble in ; organic solvents, oils; insoluble in ; water; Boiling point; 153°C (26 mmHg)","(FEMA, 1994)","[['Alcoholic beverages', '0.0001', '0.0001'], ['Hard candy', '278.30', '335.00'], ['Baked goods', '1.50', '2.00'], ['Meat products', '100.00', '100.00'], ['Chewing gum', '110.00', '110.00'], ['Nonalcoholic beverages', '7.80', '150.00'], ['Frozen dairy', '1.00', '2.00'], ['Soft candy', '2.10', '31.00'], ['Gelatins, puddings', '0.20', '0.20']]",,"Taste characteristics at 10 ppm; sweet, anisic, fruity, cherry with powdery vanilla nuances ",C9H10O2/150.18,"From anisole and acetyl chloride in the presence of aluminum chloride and carbon disulfide; from anisole and acetic acid in the presence of boron trifluoride","Reported found in European cranberry (Vaccinium oxycoccus L ), guava fruit (Psidium guajava L ), Vitis labrusca L , tomato, anise (Pimpinella anisum L ), mentha oils, grilled and roasted beef, sherry, cloudberry (Rubus chamaemorus L ), salted and pickled plums, Illicium verum and black chokeberry (Aronia melanocarpa ell ) ",,,,,,,,,,,
"ACETIC ACID",,,"Acetic acid, glacial [USAN:JAN]; Ethanoic acid; Acetic acid glacial; Acetic acid (aqueous solution); Ethylic acid; Methanecarboxylic acid; Pyroligneous acid; Vinegar acid; Vosol; Acetic acid, of a concentration of more than 10%, by weight of acetic acid",64-19-7,8.002,2006,2006,2,200-580-7,81,260,"Acetic acid, CH3COOH, is a colorless, volatile liquid at ambient temperatures. The pure compound, glacial acetic acid, owes its name to its ice-like crystalline appearance at 15.6°C. As generally supplied, acetic acid is a 6 N aqueous solution (about 36%) or a 1 N solution (about 6%). These or other dilutions are used in adding appropriate amounts of acetic acid to foods. Acetic acid is the characteristic acid of vinegar, its concentration ranging from 3.5 to 5.6%. Acetic acid and acetates are present in most plants and animal tissues in small but detectable amounts. They are normal metabolic intermediates, are produced by such bacterial species as Acetobacter and can be synthesized completely from carbon dioxide by such microorganisms as Clostridium thermoaceticum. The rat forms acetate at the rate of 1% of its body weight per day As a colorless liquid with a strong, pungent, characteristic vinegar odor, it is useful in butter, cheese, grape and fruit flavors. Very little pure acetic acid as such is used in foods, although it is classified by FDA as a GRAS material. Consequently, it may be employed in products that are not covered by Definitions and Standards of Identity. Acetic acid is the principal component of vinegars and pyroligneous acid. In the form of vinegar, more than 27 million lb were added to food in 1986, with approximately equal amounts used as acidulants and flavoring agents. In fact, acetic acid (as vinegar) was one of the earliest flavoring agents. Vinegars are used extensively in preparing salad dressing and mayonnaise, sour and sweet pickles and numerous sauces and cat-sups. They are also used in the curing of meat and in the canning of certain vegetables. In the manufacture of mayonnaise, the addition of a portion of acetic acid (vinegar) to the salt- or sugar-yolk reduces the heat resistance of Salmonella. Water binding compositions of sausages often include acetic acid or its sodium salt, while calcium acetate is used to preserve the texture of sliced, canned vegetables ","7,033,333.3 lb ","5.9604 mg/kg/day",Approved,"21 CFR 131.111, 133 et seq , 169 et seq , 173 et seq , 184.1005, 582.1005; 27 CFR 4.21, 5.22, 21 et seq , 24 et seq ","Approved for OTC use (21 CFR 310.545); excipient (CDER, 1996)","ADI acceptable. Small residues of acetic acid on food (which has been treated with antimicrobial washing solutions) at the time of consumption would not pose a safety concern (2004)","2.146 mg.",Natural,"(FCC, 1996); Appearance; Clear, colorless liquid; Readily oxidizable ; substances; Passes test; Assay; Not less than 99.5% and not more than ; 100.5%, by weight of C2H4O2; Solidification point; Not lower than 15.6°C; Boiling point; 118°C; Solubility; Miscible in water, glycerin and ; alcohol; Heavy metals; Not more than 10 mg/kg; Specific gravity; 1.049; Nonvolatile residue; Not more than 0.005%","(FEMA, 1994)","[['Alcoholic beverages', '0.11', '0.18'], ['Hard candy', '0.17', '0.17'], ['Baked goods', '0.11', '0.16'], ['Imitation dairy', '0.14', '0.14'], ['Cheese', '0.00', '0.00'], ['Meat products', '7.84', '16.27'], ['Chewing gum', '0.07', '0.70'], ['Milk products', '0.80', '1.25'], ['Condiments, relishes', '135.60', '135.70'], ['Nonalcoholic beverages', '0.06', '0.23'], ['Fats, oils', '14.93', '30.86'], ['Snack foods', '1.50', '1.50'], ['Frozen dairy', '0.03', '0.05'], ['Soft candy', '0.05', '0.07'], ['Gelatins, puddings', '0.04', '0.06'], ['Sweet sauce', '0.11', '0.11'], ['Gravies', '1.82', '12.14']]","Aroma characteristics at 1.0%; sour pungent, cider vinegar, slightly malty with a brown nuance ","Taste characteristics at 15 ppm; sour, acidic tangy ",C2H4O2/60.05,"From the destructive distillation of wood from acetylene and water and from acetaldehyde by subsequent oxidation with air. Pure acetic acid is produced commercially by a number of different processes. As dilute solutions, it is obtained from alcohol by the “Quick-Vinegar Process ” Smaller quantities are obtained from the pyroligneous acid liquors acquired in the destructive distilla-tion of hard wood. It is manufactured synthetically in high yields by the oxidation of acetaldehyde and of butane, and as the reaction product of methanol and carbon monoxide Vinegars are produced from cider, grapes (or wine), sucrose, glucose or malt by successive alcoholic and acetous fermentations. In the United States, the use of the term “vinegar,” without qualifying adjectives, implies only cider vinegar. Although a 4 to 8% solution of pure acetic acid would have the same taste characteristics as cider vinegar, it could not qualify as a vinegar, since it would lack other readily detectable components characteristic of cider vinegar. In Great Britain, malt vinegar is specified. On the European continent, wine vinegar is the most common variety ","Reported found in vinegar, bergamot, cornmint oil, bitter orange oil, lemon petitgrain, various dairy products ",,,,,,,,,,,
"ACETIC ANHYDRIDE",,,"Acetanhydride; Acetic acid, anhydride; Acetic oxide, Acetyl anhydride; Acetyl ether; Acetyl ether, Acetyl oxide; Ethanoic anhydrate, Ethanoic anhydride",108-24-7,,,,,203-564-8,,,"An esterification agent used in the preparation of modified starch and for acetylation of acetylated monoglycerides. It has a strong acetic odor",,,,"21 CFR 172.892","Listed in Inactive Ingredient Guide (CDER, 1996)",,,,"Appearance; Clear, colorless liquid; Solubility; Slowly soluble in water (reacts); Boiling point; 140°C; Specific gravity; 1.08 (15°C); Melting point; –73°C; Vapor pressure; 4 (20°C)",,,"1.5 ppm",,C4H6O3/102.09H3COCH3OO,"It may be synthesized from diacetyl by partial reduction with zinc and acid or may be derived from fermentation","Reported found in watercress (Nasturtium officinale r. br )",,,,,,,,,,,
ACETOIN,,,"Acetyl methyl carbinol; Acetylmethylcarbinol; 2-Butanol-3-one; 2,3-Butanolone; 2-Butanone, 3-hydroxy-; Dimethylketol; 3-Hydroxy-2-butanone; 1-Hydroxyethyl methyl ketone; gamma-Hydroxy-beta-oxobutane; Methanol, acetylmethyl-",513-86-0,7.051,2008,2008,749,208-174-1,405,,"Acetoin is a yellowish liquid with a bland, woody, yogurt odor and a fatty creamy “tub” butter taste. It is useful as a flavor ingredient in butter, milk, yogurt or strawberry flavors ","33833.3 lb.","0.02867 mg/kg/day","50 ppm","21 CFR 182.60, 184.1848, 582.60",,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent (1998)","62.701 mg.",Natural,"(FCC, 1996); Appearance; Monomer:; colorless to pale-yellow ; liquid; Dimer:; white crystalline ; powder; Refractive index; 1.417–1.420 (20.0°C); Assay (min); 96% C4H8O2; Solubility; Miscible with water, propylene glycol ; and alcohol; insoluble in vegetable ; oils; Boiling point; 148°C; Specific gravity; 1.005–1.019 (25.0°C)","(FEMA, 1994)","[['Alcoholic beverages', '3.10', '3.10'], ['Hard candy', '18.20', '84.89'], ['Baked goods', '380.00', '750.00'], ['Imitation dairy', '50.00', '100.00'], ['Breakfast cereals', '0.67', '0.67'], ['Meat products', '12.29', '24.27'], ['Cheese', '10.00', '10.00'], ['Milk products', '.012', '0.03'], ['Chewing gum', '0.42', '0.42'], ['Nonalcoholic beverages', '1.80', '17.00'], ['Condiments, relishes', '2.00', '8.00'], ['Other grains', '200.00', '400.00'], ['Confection, frosting', '21.00', '100.00'], ['Reconstituted vegetables', '32.00', '200.00'], ['Fats, oils', '50.00', '750.00'], ['Seasoning, flavors', '30.00', '90.00'], ['Frozen dairy', '10.00', '50.00'], ['Snack foods', '36.00', '98.00'], ['Fruit juice', '0.03', '0.03'], ['Soft candy', '9.8', '50.00'], ['Gelatins, puddings', '81.00', '81.00'], ['Soups', '0.05', '0.05'], ['Gravies', '0.029', '0.029'], ['Sweet sauce', '98.00', '98.00']]","Aroma characteristics at 1.0%; strong buttery and creamy","Taste characteristics at 10 ppm; sweet, creamy, dairy, and butter-like ",C4H8O2/88.11,"From diacetyl by partial reduction with zinc and acid. It is also a product of fermentation. Acetoin is an optically active compound. The d(–)acetyl methyl carbinol is obtained from fermentation and, in mixture with other products, from the catalytic oxidation of 2,3-butanediol. The 1(+)acetyl methyl carbinol is also obtained from fermentation. The optically pure form has not been isolated; the optically inactive form is prepared synthetically ","Reported found in fresh apple, butter, cheddar cheese, coffee, cocoa, honey, wheat bread and wine ",,,,,,,,,,,
ACETOLEIN,,,"Glyceryl monooleate, acetylated; Monoglycerides, acetylated; 9-Octadecenoic acid (9Z)-, ester with 1,2,3-propanetriol diacetate; Oleic acid ester with hydroxypropanediyl diacetate",28060-90-4,,,,,248-807-9,,,"Acetylated monoglycerides consist of partial or complete esters of glycerin with a mixture of acetic and edible fat-forming fatty acids. Acetolein may have an acetic acid odor, but is practically bland in taste ",,,,"21 CFR 184.1323","21 CFR 184.1323",,,,"(Burdock, 1997); Appearance; Varying consistency from clear, thin ; liquids to solids, white to pale-yellow ; in color; Solubility; Insoluble in water; soluble in alcohol, ; acetone, etc ",,,,,C25H44O6/440.61,"The food additive acetylated monoglycerides is manufactured by (1) the inter-esterification of edible fats with triacetin and in the presence of catalytic agents that are not food additives or authorized by regulation, followed by a molecular distillation or by steam stripping; or (2) the direct acetylation of edible monoglycerides with acetic anhydride without the use of catalyst or molecu-lar distillation, and with the removal of vacuum distillation, if necessary, of the acetic acid, acetic anhydride and triacetin ","Not reported found in nature",,,,,,,,,,,
ACETONE,,,"Acetone. oil;  Dimethyl. ketone;  Dimethylformaldehyde;  Dimethylketal;  Ketone. propane;  Ketone,. dimethyl;  Ketone, dimethyl-; β-Ketopropane; Methyl ketone; Propanone; 2-Propanone; Pyroacetic acid; Pyroacetic ether",67-64-1,7.05,3326,3326,737,200-662-2,139,,"A clear liquid with characteristic aromatic odor; pungent, somewhat sweet taste. It is used as a flavor enhancer, flavoring agent or adjuvant solvent, or vehicle washing or surface removal agent. Its quick miscibility with water, alcohol, ether, chloroform and most volatile oils makes acetone a valuable solvent and extractant ","37.50 lb.","0.0000317 mg/kg/day","2 ppm","21 CFR 73 et seq , 173 et seq , 184.1848; 27 CFR 21 et seq ","Approved for OTC use (21 CFR 310.545)","Acceptable. No safety concern at current levels of intake when used as a flavoring agent (1998)","0.901 mg","Nature Identical","(FCC, 1996); Acidity ; (as acetic acid); Not more than 0.002%; Nonvolatile residue; Not more than 10 mg/kg; Aldehydes ; (as formaldehyde); Not more than 0.002%; Phenols; Passes test; Alkalinity (as NH3); Not more than 10 mg/kg; Refractive index; 1.356 (20°C); Appearance; Clear, colorless liquid ; Solubility; Miscible with water, alcohol, ether, ; chloroform and most volatile oils; Assay; Not less than 99.5% and not more than ; 100.5% by weight of C3H6O; Solubility in water; Passes test; Distillation range; Within a range of 10 including 56.10; Substances reducing ; permanganate; Passes test; Heavy metals (as Pb); Not more than 1 mg/kg; Water; Not more than 0.5%; Methanol; Not more than 0.05%","(FEMA, 1994)","[['Alcoholic beverages', '0.37', '0.37'], ['Milk products', '1.60', '1.60'], ['Baked goods', '3.00', '9.00'], ['Nonalcoholic beverages', '0.57', '.057'], ['Fats, oils', '14.00', '20.00'], ['Snack foods', '5.00', '10.00'], ['Frozen dairy', '3.00', '5.00'], ['Soft candy', '0.88', '5.40'], ['Gelatins, puddings', '0.60', '0.60'], ['Sweet sauce', '1.30', '1.30'], ['Jams, jellies', '0.27', '0.27']]","40 to 476 ppm",,C3H6O/58.08,"By fermentation, or by chemical synthesis from isopropanol, cumene or propane ","Reported found in apple, pear, grape, pineapple, strawberry, raspberry, tomato, black currant, citrus, onion and potato; also reported found in cocoa leaves, in Mexican goosefoot and in the oils of coriander and lavender. In trace amounts it has been reportedly identified in the oil of bitter orange, in distilled wine and in coffee aroma ",,,,,,,,,,,
"ACETONE PEROXIDES",,,"Acetone peroxide",1336-17-0,,,1194,,,,,"A mixture of monomeric and linear dimeric acetone peroxides (mainly 2,2-hydroxyperoxypropane), with minor pro-portions of higher polymers, usually mixed with an edible carrier such as cornstarch. The cornstarch mixture is a fine, white, free-flowing powder having a sharp acrid odor similar to that of hydrogen peroxide when the container is first opened. Acetone peroxides are used in foods as a bleaching agent, maturing agent and dough conditioner. Acetone peroxides are strong oxidizing agents and exposure to skin and eyes should be avoided ",,,,"21 CFR 137.105, 172.802",,"No treatment level set (1965)",,,"(FCC, 1996); Appearance; Monomeric and linear dimeric acetone ; peroxides are usually mixed with an ; edible carrier, such as cornstarch, ; resulting in a fine, white, free-flowing ; powder; Heavy metals (as Pb); Not more than 10 mg/kg; Assay; Yields an amount of hydrogen ; peroxide equivalent to not less than ; 16.0% acetone peroxides","Acetone peroxide is formed when hydrogen peroxide 30% acts on acetone. The introduction of dilute sulfuric acid causes the reaction to go into completion. Acetone peroxide is one of the most sensitive explosives known to man and great care is needed when handling this compound",,,,,,"Not reported found in nature",,,,,,,,,,,
ACETOPHENONE,,,"Acetylbenzene; Benzene, acetyl-; Benzoyl methide; Ethanone, 1-phenyl-; Hypnon; Hypnone; Ketone, methyl phenyl; Methyl phenyl ketone; 1-Phenyl-1-ethanone; 1-Phenylethanone; Phenyl methyl ketone",98-86-2,7.004,2009,2009,138,202-708-7,806,,"Acetophenone has a characteristic sweet, pungent and strong medicinal odor with a bitter, aromatic cherry branch taste. It is useful in flavors of grape, cherry and tobacco ","550.00 lb.","0.0004661 mg/kg/day","10 ppm","21 CFR 172.515",,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent (2001)","5.552 mg","Nature Identical","(JECFA, 2008); Appearance; Colorless liquid that will solidify at ; 20°C; Refractive index; 1.530–1.535 (20°C); Assay; 98% C8H8O; Solubility; Very slightly soluble in water; soluble ; in organic solvents, oils; miscible in ; ethanol at above 20°C; Boiling point; 202°C; Specific gravity; 1.022–1.028 (25°C)","(FEMA, 1994)","[['Alcoholic beverages', '0.10', '1.00'], ['Hard candy', '28.30', '28.30'], ['Chewing gum', '13.12', '45.07'], ['Nonalcoholic beverages', '3.88', '5.93'], ['Frozen dairy', '10.57', '14.45'], ['Soft candy', '20.79', '28.25'], ['Gelatins, puddings', '17.93', '24.50']]","2.9 ppm","Taste characteristics at 10 ppm; sweet, nutty, benzaldehyde with musty, fruity notes ",C8H8O/120.15,"From benzene and acetylchloride in the presence of aluminum chloride or by catalytic oxidation of ethyl benzene; also prepared by fractional distillation and crystallization from the essential oil of Stirlingia latifolia","Reported found in cocoa, beef, raspberry, peas, and concord grape ",,,,,,,,,,,
2-ACETOXY-3-BUTANONE,,,"Acetoin acetate; Acetyl methyl carbinyl acetate; 2-Butanone, 3-(acetyloxy)-; 2-Butanon-3-yl acetate",4906-24-5,9.186,3526,3526,608,,406,,,"< 1.0 lb.","0.00000026 mg/kg/day","10 ppm",,,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent (1998)","2.454 mg","Nature identical","(JECFA, 2000); Appearance; Colorless to slightly yellow liquid; Refractive index; 1.410–1.416 (20°C); Assay (min); 98%; Solubility; Soluble in ethanol; Boiling point; 74–75°C; Specific gravity; 0.990–1.010 (25°C)","(FEMA, 1994)","[['Alcoholic beverages', '5.37', '20.00'], ['Gelatins, puddings', '5.38', '20.00'], ['Baked goods', '10.60', '49.30'], ['Nonalcoholic beverages', '5.00', '20.00'], ['Frozen dairy', '5.37', '20.00'], ['Soft candy', '9.91', '47.80']]","sweet, fruity, estry, chemical, pineapple, apple, banana with a ketonic nuance ","Taste characteristics at 100 ppm; fruity body, fleshy, rimy, grape, and winey ",C6H10O3/130.14,,"Reported found in pineapple (Ananas comoscus), roasted chicken, red wine, cocoa, arctic bramble (Rubus articus L ) and pawpaw (Asimina triloba L. Dunal) ",,,,,,,,,,,
6-ACETOXYDIHYDROTHEASPIRANE,,,"1-Oxaspiro(4 5)decan-6-ol, 2,6,10,10-tetramethyl-, acetate; (2 RS, 5SR, 6SR)-2,6,10,10-tetramethyl-1-oxaspirol(4,5)dec-6-ol acetate",72541-09-04,,3651,3651,,,,,,,,,,,,"0.010 m",,"(Burdock, 1997); Appearance; Partly crystalline, partly liquid; (depending on C2 epimer ratio); Solubility; Insoluble in water; soluble in fats; Assay (min); 97% (1:1 mixture of C2 epimers); Specific gravity; 1.020 (20°C); Refractive index; 1.474 (20°C)","(FEMA, 1994)","[['Baked goods', '0.05', '0.50'], ['Meat products', '0.02', '0.50'], ['Condiments, relishes', '0.01', '0.30'], ['Seasoning, flavorings', '0.01', '0.10'], ['Gravies', '0.01', '0.20'], ['Snack foods', '0.10', '0.50'], ['Instant coffee, tea', '0.01', '0.05'], ['Soups', '0.01', '0.20']]",,,C15H26O3/254.37,,"Not reported found in nature",,,,,,,,,,,
(+/–)-1-ACETOXY-1-ETHOXYETHANE,,,"Ethanol, 1-ethoxy-, acetate; 1-Ethoxy-1-eqthanol acetate; 1-Ethoxyethyl acetate; Ethoxyethyl acetate",1608-72-6,,4069,,,216-537-0,1726,,"Clear, colorless liquid; refreshing, fruity aroma ",,,,,,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent (2007)","0.153 mg",Artificial,"(JECFA, 2008); Assay (min); 95%; Solubility; Soluble in water; soluble in ethanol; Boiling point; 136–138°C; Specific gravity; 0.947–0.951 (25°C); Refractive index; 1.386–1.392 (20°C)","(FEMA, 2005)","[['Alcoholic beverages', '0.30', '10.00'], ['Instant coffee, tea', '0.50', '10.00'], ['Chewing gum', '20.00', '50.00'], ['Jams, jellies', '1.00', '10.00'], ['Confection, frosting', '0.50', '10.00'], ['Milk products', '0.50', '5.00'], ['Frozen dairy', '0.50', '5.00'], ['Nonalcoholic beverages', '0.20', '5.00'], ['Fruit ices', '1.00', '10.00'], ['Soft candy', '0.50', '5.00'], ['Gelatins, puddings', '0.50', '5.00'], ['Sweet sauce', '0.80', '10.00'], ['Hard candy', '1.00', '10.00']]","Medium strength odor; recommend smelling in a 10% solution or less",,C6H12O3/132.16OOOCH3CH3CH3,,"Not reported found in nature",,,,,,,,,,,
"4-ACETOXY-2,5-DIMETHYL-3(2H)-FURANONE",,,"Furaneol acetate; 3(2H)-Furanone, 4-(acetyloxy)-2,5-dimethyl-; Furanone, 4-acetoxy-2,5-dimethyl-3(2H)",4166-20-5,13.099,3797,,,,1456,,"caramel, savory. Used in commercial meat flavors. First used in food in 1988 ",,,,,,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent (2004)","0.9310 mg",,"(JECFA, 2008); Acid value (max); 5.0; Refractive index; 1.476–1.480 (20°C); Appearance; Colorless to pale yellow liquid; Solubility; Slightly soluble in water; soluble in ; ethanol; Assay (min); 85%; Specific gravity; 1.159–1.167 (25°C); Boiling point; 243°C","(FEMA, 1996)","[['Baked goods', '5.00', '10.00'], ['Meat products', '2.00', '5.00'], ['Confection, frosting', '2.00', '5.00'], ['Snack foods', '2.00', '5.00'], ['Gelatins, puddings', '2.00', '5.00'], ['Soft candy', '2.00', '5.00'], ['Hard candy', '2.00', '5.00'], ['Soups', '1.00', '2.00'], ['Imitation dairy', '2.00', '5.00']]",,"75% of a taste panel found furaneol acetate intolerable at 0.03–0.06% in water containing 5% sucrose",C8H10O4/170.16OOCH3OOCH3CH3,"Synthesized from furaneol and acetic acid","Reported present in strawberry (0.001–0.01)",,,,,,,,,,,
4-(p-ACETOXYPHENYL)-2-BUTANONE,,,"Acetate. of. 4-(hydroxyphenyl)-2-butanone;  4-(p-Acetoxyphenyl)-2-butanone;  4-(p-Acetoxyphenyl)-2-butanone;  p-(2-Acetylethyl)phenyl acetate; 4-(4-(Acetyloxy)-phenyl)- 2-butanone; 2-Butanone, 4-(4-(acetyloxy)phenyl)-; 2-Butanone, 4-(p-hydroxy-phenyl)-, acetate; 4-(p-Hydroxyphenyl)-2-butanone, acetate; 4-(3-Oxobutyl)phenyl acetate",3572-06-03,9.288,3652,3652,,222-682-0,731,,"A yellow liquid with sweet, raspberry, fruity odor ",,,,,,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent (2000)","0.048 mg",Artificial,"(JECFA, 2008); Appearance; Yellow liquid; Refractive index; 1.506–1.512 (20°C); Assay (min); 93% (min. 95% combined o- and ; p-isomers); Specific gravity; 1.096–1.100 (25°C); Boiling point; 155°C (2.5 mmHg); Other requirements; Contains 2–5% ortho isomer","(FEMA, 1994)","[['Chewing gum', '5.00', '10.00'], ['Imitation dairy', '0.20', '1.00'], ['Confectionary, frosting', '0.50', '1.00'], ['Jams, jellies', '0.20', '1.00'], ['Fruit ices', '0.50', '1.00'], ['Nonalcoholic beverages', '0.20', '0.50'], ['Gelatins, puddings', '1.00', '2.00'], ['Soft candy', '0.50', '2.00'], ['Hard candy', '1.00', '2.00']]",,,C12H14O3/206.24,,"Not reported found in nature",,,,,,,,,,,
"4-ACETYL-6-tert-BUTYL-1,1-DIMETHYLINDANE",,,"6-tert-Butyl-1,1-dimethylindan-4-yl methyl ketone; Celestolide; Ethanone, 1-(6-(1,1-dimethylethyl)-2,3-dihydro-1,1-di-methyl-1H-inden-4-yl)-",13171-00-1,7.133,3653,3653,,236-114-4,812,,"A crystalline compound with a musky, sweet, animal odor ","<1.00 lb.","0.00000001 mg/kg/day",,,,"Additional data required (2001).",,"Nature Identical","(JECFA, 2008); Appearance; Almost white crystals; Melting point; 68–70°C; Assay (min); 97%; Solubility; Soluble in oils and ethanol; insoluble ; in water","(FEMA, 1994)","[['Soft candy', '', '8.00']]",,"Taste characteristics at 20 ppm; solvent-like with a dirty, musty brown, earthy nuance ",C17H24O/244.38,"From tert-butylbenzene","Reported found in cooked asparagus",,,,,,,,,,,
"5-ACETYL-2,3-DIHYDRO-1,4-THIAZINE",,,"1-(3,4-Dihydro-2H-1,4-thiazin-5-yl)ethanone",164524-93-0@101417-25-8,15.114,4296,,,,1766,,"Brown crystals; nutty, cooked, brown and roasted aroma ","Odor and/or flavor used in coconut, nuts, nutmeg, pina colada, popcorn, etc. ",,,,,"Acceptable. No safety concern at current levels of intake when used as a flavoring agent (2007)","1.653 mg",,"(JECFA, 2008); Assay (min); 99%; Melting point; 120–125°C ; Boiling point; 287–288°C; Solubility; Insoluble in water; slightly soluble in ; ethanol; soluble in methylene ; chloride","(FEMA, 2007)","[['Alcoholic beverages', '2.00', '10.00'], ['Imitation dairy', '2.00', '10.00'], ['Baked goods', '5.00', '20.00'], ['Instant coffee, tea', '2.00', '10.00'], ['Breakfast cereal', '5.00', '20.00'], ['Meat products', '1.00', '5.00'], ['Cheese', '1.00', '5.00'], ['Milk products', '2.00', '5.00'], ['Condiments, relishes', '5.00', '25.00'], ['Nonalcoholic beverages', '1.00', '10.00'], ['Confections, frostings', '2.00', '10.00'], ['Other grains', '2.00', '5.00'], ['Egg products', '1.00', '5.00'], ['Processed vegetables', '1.00', '5.00'], ['Frozen dairy', '1.00', '5.00'], ['Seasonings, flavors', '50.00', '1000.00'], ['Gelatins, puddings', '2.00', '10.00'], ['Snack foods', '2.00', '10.00'], ['Granulated sugar', '2.00', '10.00'], ['Soft candy', '2.00', '10.00'], ['Hard Candy', '2.00', '10.00'], ['Sugar substitutes', '10.00', '25.00']]","High strength odor; recommend smelling in a 0.01% solution or less",,C6H9NOS/143.21,,"Reported found in popcorn",,,,,,,,,,,
"2-ACETYL-3,5-DIMETHYLFURAN",,,"Ethanone, 1-(3,5-dimethyl-2-furanyl)-; Ketone, 3-5-dimethyl-2-furyl methyl; 3,5-Dimethyl-2-furyl methyl ketone",22940-86-9,13.101,4071,,,,1505,,"Colorless liquid to solid; sweet balsamic aroma",,,,,,,"4.948 mg",,"(JECFA, 2008); Acid Value (max); 1.0; Refractive index; 1.494–1.500 (20°C); Assay (min); 95%; Solubility; Insoluble in water; soluble in ethanol; Boiling point; 195°C (760.00 mmHg); Specific gravity; 1.041–1.047 (25°C); Melting point; 18°C (760.00 mmHg)","(FEMA, 2005)","[['Baked goods', '10.00', '50.00'], ['Gravies', '5.00', '25.00'], ['Breakfast cereals', '5.00', '25.00'], ['Jams, jellies', '7.00', '35.00'], ['Cheese', '7.00', '35.00'], ['Meat products', '20.00', '100.00'], ['Condiments, relishes', '5.00', '25.00'], ['Milk products', '7.00', '35.00'], ['Confection, frosting', '10.00', '50.00'], ['Other grains', '5.00', '25.00'], ['Fats, oils', '5.00', '25.00'], ['Processed fruits', '7.00', '35.00'], ['Fish products', '2.00', '10.00'], ['Seasonings, flavors', '5.00', '25.00'], ['Frozen dairy', '7.00', '35.00'], ['Snack foods', '10.00', '50.00'], ['Fruit ices', '10.00', '50.00'], ['Soups', '5.00', '25.00']]","Medium strength odor, balsamic type; recommend smelling in a 1% solution or less ",,C8H10O2/138.17OCH3CH3CH3O,,"Not reported found in nature",,,,,,,,,,,
